institution.displayName,institution.state,institution.city,institution.isPublic,ranking.sortRank,searchData.tuition.rawValue
University of Evansville,IN,Evansville,True,13.0,42676.0
University of Findlay,OH,Findlay,True,332.0,40186.0
University of Florida,FL,Gainesville,True,28.0,28658.0
University of Georgia,GA,Athens,True,47.0,30220.0
University of Guam,GU,Mangilao,True,64.0,11414.0
University of Hartford,CT,West Hartford,True,304.0,47648.0
University of Hawaii at Hilo,HI,Hilo,True,352.0,20798.0
University of Hawaii at Manoa,HI,Honolulu,True,170.0,34218.0
University of Hawaii--Maui College,HI,Kahului,True,,8420.0
University of Hawaii--West Oahu,HI,Kapolei,True,15.0,20544.0
University of Health Sciences & Pharmacy in St. Louis,MO,St. Louis,True,,31280.0
University of Holy Cross,LA,New Orleans,True,86.0,19470.0
University of Houston,TX,Houston,True,133.0,27110.0
University of Houston--Clear Lake,TX,Houston,True,304.0,26081.0
University of Houston--Downtown,TX,Houston,True,62.0,21489.0
University of Houston--Victoria,TX,Victoria,True,95.0,16941.0
University of Idaho,ID,Moscow,True,185.0,28052.0
University of Illinois--Chicago,IL,Chicago,True,82.0,32833.0
University of Illinois--Springfield,IL,Springfield,True,24.0,22017.0
University of Illinois Urbana-Champaign,IL,Champaign,True,35.0,36068.0
University of Indianapolis,IN,Indianapolis,True,304.0,36136.0
University of Iowa,IA,Iowa City,True,93.0,32927.0
University of Jamestown,ND,Jamestown,True,112.0,24200.0
University of Kansas,KS,Lawrence,True,151.0,28035.0
University of Kentucky,KY,Lexington,True,159.0,33406.0
University of La Verne,CA,La Verne,True,170.0,48300.0
University of Louisiana at Lafayette,LA,Lafayette,True,345.0,24110.0
University of Louisiana at Monroe,LA,Monroe,True,369.0,21679.0
University of Louisville,KY,Louisville,True,195.0,29174.0
University of Lynchburg,VA,Lynchburg,True,345.0,35540.0
University of Maine,ME,Orono,True,249.0,35346.0
University of Maine at Farmington,ME,Farmington,True,11.0,23079.0
University of Maine--Augusta,ME,Augusta,True,,19778.0
University of Maine--Fort Kent,ME,Fort Kent,True,35.0,14325.0
University of Maine--Presque Isle,ME,Presque Isle,True,36.0,14325.0
University of Mary,ND,Bismarck,True,376.0,21062.0
University of Mary Hardin-Baylor,TX,Belton,True,,33150.0
"University of Maryland, Baltimore",MD,Baltimore,True,,42654.0
"University of Maryland, Baltimore County",MD,Baltimore,True,133.0,30308.0
"University of Maryland, College Park",MD,College Park,True,46.0,40306.0
"University of Maryland, Eastern Shore",MD,Princess Anne,True,369.0,19728.0
University of Maryland Global Campus,MD,Adelphi,True,,12336.0
University of Mary Washington,VA,Fredericksburg,True,154.0,31154.0
University of Massachusetts--Amherst,MA,Amherst,True,67.0,39293.0
University of Massachusetts--Boston,MA,Boston,True,216.0,37211.0
University of Massachusetts--Dartmouth,MA,North Dartmouth,True,209.0,30992.0
University of Massachusetts--Lowell,MA,Lowell,True,159.0,35396.0
University of Memphis,TN,Memphis,True,269.0,18024.0
University of Miami,FL,Coral Gables,True,67.0,59926.0
University of Michigan--Ann Arbor,MI,Ann Arbor,True,21.0,57273.0
University of Michigan--Dearborn,MI,Dearborn,True,17.0,31360.0
University of Michigan--Flint,MI,Flint,True,390.0,25830.0
University of Minnesota Crookston,MN,Crookston,True,32.0,12412.0
University of Minnesota Duluth,MN,Duluth,True,21.0,19762.0
University of Minnesota Morris,MN,Morris,True,130.0,16438.0
"University of Minnesota, Twin Cities",MN,Minneapolis,True,53.0,36402.0
University of Mississippi,MS,University,True,163.0,26980.0
University of Missouri,MO,Columbia,True,124.0,34322.0
University of Missouri--Kansas City,MO,Kansas City,True,269.0,30734.0
University of Missouri--St. Louis,MO,St. Louis,True,260.0,31516.0
University of Mobile,AL,Mobile,True,76.0,26120.0
University of Montana,MT,Missoula,True,361.0,31622.0
University of Montana Western,MT,Dillon,True,23.0,18961.0
University of Montevallo,AL,Montevallo,True,20.0,26730.0
University of Mount Olive,NC,Mount Olive,True,78.0,23591.0
University of Mount Union,OH,Alliance,True,32.0,35400.0
University of Nebraska at Kearney,NE,Kearney,True,29.0,15920.0
University of Nebraska -- Lincoln,NE,Lincoln,True,159.0,27748.0
University of Nebraska Medical Center,NE,Omaha,True,,33890.0
University of Nebraska Omaha,NE,Omaha,True,304.0,21718.0
"University of Nevada, Las Vegas",NV,Las Vegas,True,269.0,26099.0
"University of Nevada, Reno",NV,Reno,True,195.0,25950.0
University of New England,ME,Biddeford,True,260.0,42550.0
University of New Hampshire,NH,Durham,True,115.0,38882.0
University of New Hampshire at Manchester,NH,Manchester,True,146.0,34664.0
University of New Haven,CT,West Haven,True,87.0,45730.0
University of New Mexico,NM,Albuquerque,True,236.0,26452.0
University of New Orleans,LA,New Orleans,True,,14190.0
University of North Alabama,AL,Florence,True,33.0,23150.0
University of North Carolina Asheville,NC,Asheville,True,139.0,24809.0
University of North Carolina at Chapel Hill,NC,Chapel Hill,True,22.0,39338.0
University of North Carolina at Greensboro,NC,Greensboro,True,216.0,22539.0
University of North Carolina--Charlotte,NC,Charlotte,True,178.0,21338.0
University of North Carolina--Pembroke,NC,Pembroke,True,45.0,7496.0
University of North Carolina School of the Arts,NC,Winston-Salem,True,,26622.0
University of North Carolina--Wilmington,NC,Wilmington,True,201.0,22985.0
University of North Dakota,ND,Grand Forks,True,236.0,15570.0
University of Northern Colorado,CO,Greeley,True,352.0,26204.0
University of Northern Iowa,IA,Cedar Falls,True,11.0,21272.0
University of North Florida,FL,Jacksonville,True,236.0,20107.0
University of North Georgia,GA,Dahlonega,True,41.0,21170.0
University of North Texas,TX,Denton,True,260.0,24644.0
University of North Texas at Dallas,TX,Dallas,True,44.0,22117.0
University of Northwestern Ohio,OH,Lima,True,64.0,12470.0
University of Northwestern--St. Paul,MN,St. Paul,True,45.0,36830.0
University of Notre Dame,IN,Notre Dame,True,20.0,62693.0
University of Oklahoma,OK,Norman,True,124.0,25880.0
University of Oklahoma Health Sciences Center,OK,Oklahoma City,True,,24731.0
The University of Olivet,MI,Olivet,True,38.0,33076.0
University of Oregon,OR,Eugene,True,98.0,41194.0
University of Pennsylvania,PA,Philadelphia,True,6.0,66104.0
University of Pikeville,KY,Pikeville,True,,24150.0
University of Pittsburgh,PA,Pittsburgh,True,67.0,39890.0
University of Pittsburgh at Bradford,PA,Bradford,True,20.0,26494.0
University of Pittsburgh at Greensburg,PA,Greensburg,True,,26504.0
University of Pittsburgh at Johnstown,PA,Johnstown,True,12.0,26520.0
University of Portland,OR,Portland,True,2.0,54900.0
University of Providence,MT,Great Falls,True,98.0,27456.0
University of Puerto Rico--Aguadilla,PR,Aguadilla,True,52.0,5954.0
University of Puerto Rico--Arecibo,PR,Arecibo,True,34.0,5324.0
University of Puerto Rico--Bayamon,PR,Bayamon,True,81.0,6884.0
University of Puerto Rico--Cayey,PR,Cayey,True,167.0,5354.0
University of Puerto Rico--Humacao,PR,Humacao,True,33.0,5364.0
University of Puerto Rico--Mayaguez,PR,Mayaguez,True,47.0,5274.0
University of Puerto Rico--Ponce,PR,Ponce,True,52.0,5354.0
University of Puerto Rico--Rio Piedras,PR,Rio Piedras,True,320.0,2168.0
University of Puerto Rico--Utuado,PR,Utuado,True,,5354.0
University of Puget Sound,WA,Tacoma,True,89.0,59900.0
University of Redlands,CA,Redlands,True,7.0,55678.0
University of Rhode Island,RI,Kingston,True,151.0,35804.0
University of Richmond,VA,Univ. of Richmond,True,25.0,62600.0
University of Rio Grande,OH,Rio Grande,True,62.0,20060.0
University of Rochester,NY,Rochester,True,47.0,64384.0
University of Saint Francis,IN,Fort Wayne,True,76.0,35420.0
University of Saint Joseph,CT,West Hartford,True,80.0,45908.0
University of Saint Katherine,CA,San Marcos,True,,28800.0
University of Saint Mary,KS,Leavenworth,True,95.0,33890.0
University of San Diego,CA,San Diego,True,98.0,56444.0
University of San Francisco,CA,San Francisco,True,115.0,58222.0
University of Science and Arts of Oklahoma,OK,Chickasha,True,,19470.0
University of Scranton,PA,Scranton,True,5.0,52034.0
University of Silicon Valley,CA,San Jose,True,14.0,27850.0
University of Sioux Falls,SD,Sioux Falls,True,76.0,20740.0
University of South Alabama,AL,Mobile,True,382.0,22640.0
University of South Carolina,SC,Columbia,True,124.0,33928.0
University of South Carolina Aiken,SC,Aiken,True,59.0,21218.0
University of South Carolina Beaufort,SC,Bluffton,True,44.0,21776.0
University of South Carolina Upstate,SC,Spartanburg,True,22.0,23260.0
University of South Dakota,SD,Vermillion,True,269.0,12942.0
University of Southern California,CA,Los Angeles,True,28.0,68237.0
University of Southern Indiana,IN,Evansville,True,76.0,21788.0
University of Southern Maine,ME,Portland,True,144.0,26470.0
University of Southern Mississippi,MS,Hattiesburg,True,352.0,11618.0
University of South Florida,FL,Tampa,True,89.0,17324.0
University of St. Francis,IL,Joliet,True,280.0,37000.0
University of St. Thomas (MN),MN,St. Paul,True,163.0,52284.0
University of St. Thomas (TX),TX,Houston,True,216.0,33660.0
University of Tampa,FL,Tampa,True,16.0,33424.0
University of Tennessee at Chattanooga,TN,Chattanooga,True,345.0,25966.0
University of Tennessee at Martin,TN,Martin,True,27.0,15952.0
University of Tennessee Health Sciences Center,TN,Memphis,True,,20425.0
"University of Tennessee, Knoxville",TN,Knoxville,True,105.0,31434.0
University of Tennessee Southern,TN,Pulaski,True,47.0,10200.0
The University of Texas at Arlington,TX,Arlington,True,236.0,29660.0
University of Texas at Austin,TX,Austin,True,32.0,41070.0
The University of Texas at Dallas,TX,Richardson,True,115.0,44812.0
The University of Texas at El Paso,TX,El Paso,True,304.0,24952.0
University of Texas at San Antonio,TX,San Antonio,True,280.0,26798.0
The University of Texas at Tyler,TX,Tyler,True,361.0,25198.0
University of Texas Health Science Center--Houston,TX,Houston,True,,37872.0
University of Texas Health Science Center--San Antonio,TX,San Antonio,True,,22277.0
University of Texas Medical Branch--Galveston,TX,Galveston,True,,24213.0
University of Texas Permian Basin,TX,Odessa,True,52.0,23212.0
University of Texas Rio Grande Valley,TX,Edinburg,True,227.0,19333.0
University of the Arts,PA,Philadelphia,True,,51130.0
University of the Cumberlands,KY,Williamsburg,True,,9875.0
University of the District of Columbia,DC,Washington,True,148.0,18260.0
University of the Incarnate Word,TX,San Antonio,True,296.0,35660.0
University of the Ozarks,AR,Clarksville,True,7.0,25950.0
University of the Pacific,CA,Stockton,True,142.0,55340.0
University of the Potomac,DC,Washington,True,,6660.0
The University of the South,TN,Sewanee,True,51.0,53704.0
University of the Southwest,NM,Hobbs,True,,17200.0
University of the Virgin Islands,VI,St. Thomas,True,73.0,15520.0
University of the West,CA,Rosemead,True,,14018.0
University of Toledo,OH,Toledo,True,280.0,21280.0
University of Tulsa,OK,Tulsa,True,195.0,48102.0
University of Utah,UT,Salt Lake City,True,115.0,33045.0
University of Valley Forge,PA,Phoenixville,True,36.0,23750.0
University of Vermont,VT,Burlington,True,133.0,43890.0
University of Virginia,VA,Charlottesville,True,24.0,58950.0
University of Virginia--Wise,VA,Wise,True,165.0,31546.0
University of Washington,WA,Seattle,True,40.0,41997.0
University of Washington Bothell,WA,Bothell,True,,40722.0
University of Washington Tacoma,WA,Tacoma,True,13.0,42171.0
University of West Alabama,AL,Livingston,True,79.0,20090.0
University of West Florida,FL,Pensacola,True,27.0,18628.0
University of West Georgia,GA,Carrollton,True,382.0,20852.0
University of Wisconsin--Eau Claire,WI,Eau Claire,True,21.0,17487.0
University of Wisconsin--Green Bay,WI,Green Bay,True,66.0,16091.0
University of Wisconsin--La Crosse,WI,La Crosse,True,249.0,18814.0
University of Wisconsin--Madison,WI,Madison,True,35.0,40603.0
University of Wisconsin--Milwaukee,WI,Milwaukee,True,332.0,21514.0
University of Wisconsin--Oshkosh,WI,Oshkosh,True,332.0,15368.0
University of Wisconsin--Parkside,WI,Kenosha,True,103.0,16489.0
University of Wisconsin--Platteville,WI,Platteville,True,60.0,16800.0
University of Wisconsin--River Falls,WI,River Falls,True,60.0,16128.0
University of Wisconsin--Stevens Point,WI,Stevens Point,True,47.0,17854.0
University of Wisconsin--Stout,WI,Menomonie,True,67.0,18706.0
University of Wisconsin--Superior,WI,Superior,True,124.0,16400.0
University of Wisconsin--Whitewater,WI,Whitewater,True,43.0,17810.0
University of Wyoming,WY,Laramie,True,216.0,22718.0
Upper Iowa University,IA,Fayette,True,,33639.0
Ursinus College,PA,Collegeville,True,86.0,59176.0
Ursuline College,OH,Pepper Pike,True,88.0,37860.0
Utah State University,UT,Logan,True,269.0,24802.0
Utah Tech University,UT,Saint George,True,32.0,17644.0
Utah Valley University,UT,Orem,True,104.0,17830.0
Utica University,NY,Utica,True,64.0,25468.0
Valdosta State University,GA,Valdosta,True,,17062.0
Valencia College,FL,Orlando,True,,9383.0
Valley City State University,ND,Valley City,True,29.0,13478.0
Valparaiso University,IN,Valparaiso,True,201.0,46588.0
Vanderbilt University,TN,Nashville,True,18.0,63946.0
VanderCook College of Music,IL,Chicago,True,,29800.0
Vanguard University of Southern California,CA,Costa Mesa,True,44.0,39950.0
Vassar College,NY,Poughkeepsie,True,16.0,67805.0
Vaughn College of Aeronautics and Technology,NY,Flushing,True,16.0,26550.0
Vermont State University,VT,Johnson,True,,26892.0
Villa Maria College,NY,Buffalo,True,,26960.0
Villanova University,PA,Villanova,True,67.0,64906.0
Vincennes University,IN,Vincennes,True,,15253.0
Virginia Commonwealth University,VA,Richmond,True,142.0,38247.0
Virginia Military Institute,VA,Lexington,True,63.0,49722.0
Virginia State University,VA,Petersburg,True,41.0,21253.0
Virginia Tech,VA,Blacksburg,True,47.0,36090.0
Virginia Union University,VA,Richmond,True,,14230.0
Virginia Wesleyan University,VA,Virginia Beach,True,174.0,36960.0
Viterbo University,WI,La Crosse,True,74.0,32350.0
Voorhees University,SC,Denmark,True,52.0,12630.0
Wabash College,IN,Crawfordsville,True,59.0,49125.0
Wade College,TX,Dallas,True,,17132.0
Wagner College,NY,Staten Island,True,69.0,52000.0
Wake Forest University,NC,Winston-Salem,True,47.0,64758.0
Waldorf University,IA,Forest City,True,,24526.0
Walla Walla University,WA,College Place,True,54.0,33027.0
Walsh College,MI,Troy,True,,20757.0
Walsh University,OH,North Canton,True,352.0,34595.0
Warner Pacific University,OR,Portland,True,11.0,21010.0
Warner University,FL,Lake Wales,True,104.0,28044.0
Warren Wilson College,NC,Asheville,True,,40290.0
Wartburg College,IA,Waverly,True,156.0,51040.0
Washburn University,KS,Topeka,True,103.0,20530.0
Washington Adventist University,MD,Takoma Park,True,,25200.0
Washington and Lee University,VA,Lexington,True,21.0,64525.0
Washington College,MD,Chestertown,True,93.0,54266.0
Washington & Jefferson College,PA,Washington,True,89.0,28185.0
Washington State University,WA,Pullman,True,178.0,29073.0
Washington University in St. Louis,MO,St. Louis,True,24.0,62982.0
Wayland Baptist University,TX,Plainview,True,,23286.0
Waynesburg University,PA,Waynesburg,True,111.0,29460.0
Wayne State College,NE,Wayne,True,92.0,7923.0
Wayne State University,MI,Detroit,True,201.0,31614.0
Webber International University,FL,Babson Park,True,80.0,30368.0
Webb Institute,NY,Glen Cove,True,,61060.0
Weber State University,UT,Ogden,True,59.0,17084.0
Webster University,MO,St. Louis,True,32.0,30730.0
Welch College,TN,Gallatin,True,17.0,20776.0
Wellesley College,MA,Wellesley,True,4.0,64320.0
Wells College,NY,Aurora,True,152.0,35166.0
Wenatchee Valley College,WA,Wenatchee,True,,5458.0
Wentworth Institute of Technology,MA,Boston,True,33.0,41010.0
Wesleyan College,GA,Macon,True,6.0,27650.0
Wesleyan University,CT,Middletown,True,11.0,67016.0
West Chester University of Pennsylvania,PA,West Chester,True,209.0,22261.0
Westcliff University,CA,Irvine,True,,17550.0
West Coast University,CA,Anaheim,True,,22889.0
Western Carolina University,NC,Cullowhee,True,227.0,8532.0
Western Colorado University,CO,Gunnison,True,74.0,23683.0
Western Connecticut State University,CT,Danbury,True,101.0,25239.0
Western Illinois University,IL,Macomb,True,38.0,12848.0
Western Kentucky University,KY,Bowling Green,True,361.0,27000.0
Western Michigan University,MI,Kalamazoo,True,304.0,18218.0
Western Nevada College,NV,Carson City,True,,12144.0
Western New England University,MA,Springfield,True,236.0,46430.0
Western New Mexico University,NM,Silver City,True,,17193.0
Western Oregon University,OR,Monmouth,True,60.0,30582.0
Western Washington University,WA,Bellingham,True,24.0,27855.0
Westfield State University,MA,Westfield,True,94.0,17962.0
West Liberty University,WV,West Liberty,True,62.0,8150.0
West Los Angeles College,CA,Culver City,True,,9870.0
Westminster College (MO),MO,Fulton,True,164.0,33144.0
Westminster College (PA),PA,New Wilmington,True,112.0,39770.0
Westminster University (UT),UT,Salt Lake City,True,21.0,41936.0
Westmont College,CA,Santa Barbara,True,107.0,51790.0
West Texas A&M University,TX,Canyon,True,56.0,10834.0
West Virginia State University,WV,Institute,True,103.0,14588.0
West Virginia University,WV,Morgantown,True,216.0,26568.0
West Virginia University Institute of Technology,WV,Beckley,True,,19584.0
West Virginia University--Parkersburg,WV,Parkersburg,True,,9124.0
West Virginia Wesleyan College,WV,Buckhannon,True,24.0,33494.0
Whatcom Community College,WA,Bellingham,True,,10731.0
Wheaton College (IL),IL,Wheaton,True,56.0,43930.0
Wheaton College (MA),MA,Norton,True,75.0,62080.0
Wheeling University,WV,Wheeling,True,49.0,28290.0
Whitman College,WA,Walla Walla,True,46.0,61492.0
Whittier College,CA,Whittier,True,93.0,49864.0
Whitworth University,WA,Spokane,True,7.0,50920.0
Wichita State University,KS,Wichita,True,332.0,18226.0
Widener University,PA,Chester,True,227.0,53638.0
Wilberforce University,OH,Wilberforce,True,62.0,13250.0
Wiley College,TX,Marshall,True,34.0,12500.0
Wilkes University,PA,Wilkes-Barre,True,269.0,42286.0
Willamette University,OR,Salem,True,75.0,48226.0
William Carey University,MS,Hattiesburg,True,356.0,14685.0
William Jewell College,MO,Liberty,True,8.0,19890.0
William & Mary,VA,Williamsburg,True,53.0,48841.0
William Paterson University of New Jersey,NJ,Wayne,True,69.0,24464.0
William Peace University,NC,Raleigh,True,24.0,33050.0
William Penn University,IA,Oskaloosa,True,57.0,27800.0
Williams Baptist University,AR,Walnut Ridge,True,40.0,20330.0
Williams College,MA,Williamstown,True,1.0,64860.0
William Woods University,MO,Fulton,True,,27480.0
Wilmington College,OH,Wilmington,True,29.0,31087.0
Wilmington University,DE,New Castle,True,,12030.0
Wilson College,PA,Chambersburg,True,150.0,27006.0
Wingate University,NC,Wingate,True,376.0,41516.0
Winona State University,MN,Winona,True,35.0,17224.0
Winston-Salem State University,NC,Winston-Salem,True,260.0,16932.0
Winthrop University,SC,Rock Hill,True,11.0,30196.0
Wisconsin Lutheran College,WI,Milwaukee,True,19.0,35080.0
Wittenberg University,OH,Springfield,True,152.0,44602.0
Wofford College,SC,Spartanburg,True,59.0,54100.0
Woodbury University,CA,Burbank,True,40.0,44886.0
Worcester Polytechnic Institute,MA,Worcester,True,82.0,58870.0
Worcester State University,MA,Worcester,True,96.0,17366.0
Wright State University,OH,Dayton,True,,19494.0
Xavier University,OH,Cincinnati,True,201.0,48125.0
Xavier University of Louisiana,LA,New Orleans,True,16.0,27870.0
Yakima Valley College,WA,Yakima,True,,5488.0
Yale University,CT,New Haven,True,5.0,64700.0
Yeshiva University,NY,New York,True,105.0,49900.0
York College--CUNY,NY,Jamaica,True,130.0,19028.0
York College of Pennsylvania,PA,York,True,80.0,24606.0
York University,NE,York,True,45.0,20900.0
Young Harris College,GA,Young Harris,True,,30905.0
Youngstown State University,OH,Youngstown,True,101.0,10838.0
