institution.displayName,institution.state,institution.city,institution.isPublic,ranking.sortRank,searchData.tuition.rawValue
College for Creative Studies,MI,Detroit,True,,49435.0
College of Biblical Studies--Houston,TX,Houston,True,,7475.0
College of Central Florida,FL,Ocala,True,,10632.0
College of Charleston,SC,Charleston,True,9.0,36858.0
College of Coastal Georgia,GA,Brunswick,True,68.0,12756.0
College of Idaho,ID,Caldwell,True,7.0,36205.0
College of Menominee Nation,WI,Keshena,True,,6200.0
College of Mount St. Vincent,NY,Bronx,True,9.0,42740.0
The College of New Jersey,NJ,Ewing,True,4.0,30774.0
College of Saint Mary,NE,Omaha,True,76.0,23340.0
The College of Saint Rose,NY,Albany,True,119.0,37452.0
College of Southern Nevada,NV,Las Vegas,True,,11869.0
College of St. Benedict,MN,St. Joseph,True,73.0,53884.0
The College of St. Scholastica,MN,Duluth,True,216.0,40454.0
College of the Atlantic,ME,Bar Harbor,True,156.0,46179.0
College of the Holy Cross,MA,Worcester,True,27.0,60850.0
College of the Ozarks,MO,Point Lookout,True,3.0,20990.0
The College of Westchester,NY,White Plains,True,33.0,23598.0
The College of Wooster,OH,Wooster,True,75.0,59550.0
Colorado Christian University,CO,Lakewood,True,51.0,39266.0
Colorado College,CO,Colorado Springs,True,33.0,65028.0
Colorado Mesa University,CO,Grand Junction,True,20.0,26034.0
Colorado Mountain College,CO,Glenwood Springs,True,43.0,11820.0
Colorado School of Mines,CO,Golden,True,76.0,42120.0
Colorado State University,CO,Fort Collins,True,151.0,33752.0
Colorado State University--Pueblo,CO,Pueblo,True,82.0,21479.0
Colorado Technical University,CO,Colorado Springs,True,,12696.0
Columbia Basin College,WA,Pasco,True,,7738.0
Columbia Central University--Caguas,PR,Caguas,True,,7830.0
Columbia College Chicago,IL,Chicago,True,124.0,32214.0
Columbia College Hollywood,CA,Tarzana,True,,26175.0
Columbia College (MO),MO,Columbia,True,,24326.0
Columbia College (SC),SC,Columbia,True,33.0,21450.0
Columbia International University,SC,Columbia,True,45.0,27900.0
Columbia University,NY,New York,True,12.0,65524.0
Columbus College of Art and Design,OH,Columbus,True,,38150.0
Columbus State University,GA,Columbus,True,64.0,20662.0
Commonwealth University of Pennsylvania,PA,,True,,18919.0
Community College of Denver,CO,Denver,True,,16235.0
Conception Seminary College,MO,Conception,True,,24248.0
Concordia College--Moorhead,MN,Moorhead,True,146.0,28916.0
Concordia University Ann Arbor,MI,Ann Arbor,True,,34250.0
Concordia University Chicago,IL,River Forest,True,101.0,36258.0
Concordia University -- Irvine,CA,Irvine,True,345.0,41390.0
Concordia University (NE),NE,Seward,True,76.0,39330.0
"Concordia University, St. Paul",MN,St. Paul,True,92.0,25000.0
Concordia University Texas,TX,Austin,True,79.0,35620.0
Concordia University Wisconsin,WI,Mequon,True,304.0,34250.0
Concord University,WV,Athens,True,86.0,20600.0
Connecticut College,CT,New London,True,46.0,64812.0
Converse University,SC,Spartanburg,True,23.0,23096.0
Cooper Union for the Advancement of Science and Art,NY,New York,True,2.0,46820.0
Coppin State University,MD,Baltimore,True,,13789.0
Corban University,OR,Salem,True,71.0,35767.0
Cornell College,IA,Mount Vernon,True,116.0,50634.0
Cornell University,NY,Ithaca,True,12.0,66014.0
Cornerstone University,MI,Grand Rapids,True,60.0,29100.0
Cornish College of the Arts,WA,Seattle,True,,36844.0
Cottey College,MO,Nevada,True,6.0,24960.0
Covenant College,GA,Lookout Mountain,True,135.0,40414.0
Cox College,MO,Springfield,True,,13396.0
Creighton University,NE,Omaha,True,124.0,47000.0
Criswell College,TX,Dallas,True,4.0,13350.0
Crowley's Ridge College,AR,Paragould,True,47.0,15000.0
Crown College,MN,St. Bonifacius,True,137.0,30200.0
Culinary Institute of America,NY,Hyde Park,True,,36620.0
Culver-Stockton College,MO,Canton,True,36.0,29915.0
Cumberland University,TN,Lebanon,True,85.0,27840.0
CUNY--Baruch College,NY,New York,True,9.0,19131.0
CUNY--Brooklyn College,NY,Brooklyn,True,38.0,19110.0
CUNY--City College,NY,New York,True,105.0,19010.0
CUNY--College of Staten Island,NY,Staten Island,True,104.0,26209.0
CUNY--Hunter College,NY,New York,True,21.0,19050.0
CUNY--John Jay College of Criminal Justice,NY,New York,True,17.0,19140.0
CUNY--Lehman College,NY,Bronx,True,27.0,15360.0
CUNY--New York City College of Technology,NY,Brooklyn,True,22.0,15270.0
CUNY--Queens College,NY,Queens,True,45.0,19208.0
Curry College,MA,Milton,True,137.0,45820.0
Curtis Institute of Music,PA,Philadelphia,True,,5930.0
Cypress College,CA,Cypress,True,,9090.0
Daemen University,NY,Amherst,True,345.0,33724.0
Dakota State University,SD,Madison,True,95.0,12734.0
Dakota Wesleyan University,SD,Mitchell,True,23.0,32890.0
Dallas Baptist University,TX,Dallas,True,376.0,38140.0
Dalton State College,GA,Dalton,True,41.0,10189.0
Dartmouth College,NH,Hanover,True,18.0,65511.0
Davenport University,MI,Grand Rapids,True,133.0,22244.0
Davidson College,NC,Davidson,True,16.0,60050.0
Davis and Elkins College,WV,Elkins,True,23.0,30680.0
Davis College,NY,Bible School Park,True,,17200.0
Daytona State College,FL,Daytona Beach,True,,11994.0
Dean College,MA,Franklin,True,29.0,43400.0
Defiance College,OH,Defiance,True,50.0,38778.0
Delaware State University,DE,Dover,True,111.0,18280.0
Delaware Technical Community College--Terry,DE,Dover,True,,11808.0
Delaware Valley University,PA,Doylestown,True,143.0,43300.0
Delta State University,MS,Cleveland,True,55.0,8605.0
Denison University,OH,Granville,True,39.0,64000.0
Denver College of Nursing,CO,Denver,True,,12414.0
DePaul University,IL,Chicago,True,151.0,44460.0
DePauw University,IN,Greencastle,True,46.0,57070.0
DEREE--The American College of Greece,,Athens,True,,
DeSales University,PA,Center Valley,True,280.0,44800.0
Design Institute of San Diego,CA,San Diego,True,,27875.0
DeVry University,IL,Lisle,True,,17488.0
Dharma Realm Buddhist University,CA,Ukiah,True,,21000.0
Dickinson College,PA,Carlisle,True,46.0,63450.0
Dickinson State University,ND,Dickinson,True,49.0,11218.0
DigiPen Institute of Technology,WA,Redmond,True,,35900.0
Dillard University,LA,New Orleans,True,159.0,22594.0
Dine College,AZ,Tsaile,True,,1410.0
Divine Word College,IA,Epworth,True,,14620.0
Doane University,NE,Crete,True,84.0,40491.0
Dominican University,IL,River Forest,True,11.0,37694.0
Dominican University New York,NY,Orangeburg,True,369.0,33060.0
Dominican University of California,CA,San Rafael,True,18.0,50647.0
Donnelly College,KS,Kansas City,True,41.0,8736.0
Dordt University,IA,Sioux Center,True,8.0,35960.0
Drake University,IA,Des Moines,True,178.0,50114.0
Drew University,NJ,Madison,True,93.0,43824.0
Drexel University,PA,Philadelphia,True,98.0,60663.0
Drury University,MO,Springfield,True,26.0,35435.0
Duke University,NC,Durham,True,7.0,66172.0
Dunwoody College of Technology,MN,Minneapolis,True,53.0,25659.0
Duquesne University,PA,Pittsburgh,True,151.0,47146.0
D'Youville University,NY,Buffalo,True,320.0,33540.0
Eagle Gate College--Murray,UT,,True,,17112.0
Earlham College,IN,Richmond,True,100.0,51840.0
East Carolina University,NC,Greenville,True,195.0,23602.0
East Central University,OK,Ada,True,95.0,16555.0
Eastern Connecticut State University,CT,Willimantic,True,69.0,16624.0
Eastern Florida State College,FL,Cocoa,True,,9739.0
Eastern Illinois University,IL,Charleston,True,60.0,15528.0
Eastern International College--Jersey City,NJ,Jersey City,True,,18046.0
Eastern Kentucky University,KY,Richmond,True,352.0,20222.0
Eastern Mennonite University,VA,Harrisonburg,True,47.0,40990.0
Eastern Michigan University,MI,Ypsilanti,True,376.0,15170.0
Eastern Nazarene College,MA,Quincy,True,,27990.0
Eastern New Mexico University,NM,Portales,True,91.0,8843.0
Eastern Oregon University,OR,La Grande,True,84.0,23516.0
Eastern University,PA,St. Davids,True,141.0,37420.0
Eastern Washington University,WA,Cheney,True,49.0,27299.0
East Georgia State College,GA,Swainsboro,True,,9088.0
East Stroudsburg University,PA,East Stroudsburg,True,135.0,18346.0
East Tennessee State University,TN,Johnson City,True,320.0,13484.0
East Texas Baptist University,TX,Marshall,True,84.0,29900.0
East-West University,IL,Chicago,True,,23400.0
Eckerd College,FL,St. Petersburg,True,130.0,50374.0
ECPI University,VA,Virginia Beach,True,110.0,17479.0
